recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,path
3ca3a1b6a,21,1,21.3547,3281.25,22.448,4125.0,/content/data/train_images/content/data/train_images/3ca3a1b6a.png
d817ed6ad,5,1,4.352,4781.25,6.704,10406.2,/content/data/train_images/content/data/train_images/d817ed6ad.png
a54894b33,0,1,23.424,5906.25,24.2187,8250.0,/content/data/train_images/content/data/train_images/a54894b33.png
2bf32cf03,8,1,21.0347,3750.0,25.1573,5531.25,/content/data/train_images/content/data/train_images/2bf32cf03.png
6bf2953a8,20,1,19.4613,2343.75,22.9013,5718.75,/content/data/train_images/content/data/train_images/6bf2953a8.png
b01abd3b2,9,1,32.9173,843.75,36.48,5718.75,/content/data/train_images/content/data/train_images/b01abd3b2.png
9fbd7e1f6,13,1,51.9467,93.75,52.5707,843.75,/content/data/train_images/content/data/train_images/9fbd7e1f6.png
b89bd05a1,14,1,44.431999999999995,2812.5,45.3547,4406.25,/content/data/train_images/content/data/train_images/b89bd05a1.png
0c48ed342,17,1,50.032,1312.5,56.4853,3937.5,/content/data/train_images/content/data/train_images/0c48ed342.png
a66546dfd,19,1,38.0373,281.25,39.5893,2812.5,/content/data/train_images/content/data/train_images/a66546dfd.png
9c2286d0c,18,1,40.4267,3187.5,41.12,5062.5,/content/data/train_images/content/data/train_images/9c2286d0c.png
7341161bd,17,4,13.1425,1464.26,16.9215,4565.04,/content/data/train_images/content/data/train_images/7341161bd.png
22bfc5978,5,1,46.6187,4781.25,48.9707,10406.2,/content/data/train_images/content/data/train_images/22bfc5978.png
7c858b1f2,20,1,33.3707,1312.5,38.751999999999995,6093.75,/content/data/train_images/content/data/train_images/7c858b1f2.png
ae521f781,7,1,39.888000000000005,4687.5,43.0293,11437.5,/content/data/train_images/content/data/train_images/ae521f781.png
3c621e663,17,1,49.792,1312.5,56.2453,3937.5,/content/data/train_images/content/data/train_images/3c621e663.png
b2338ed38,0,1,36.1013,5906.25,36.896,8250.0,/content/data/train_images/content/data/train_images/b2338ed38.png
4e90ab2fb,4,1,53.0027,2343.75,54.8587,4218.75,/content/data/train_images/content/data/train_images/4e90ab2fb.png
c3843eb33,0,1,56.2933,5906.25,57.088,8250.0,/content/data/train_images/content/data/train_images/c3843eb33.png
6b0891684,0,1,26.2293,5906.25,27.024,8250.0,/content/data/train_images/content/data/train_images/6b0891684.png
5635d4cbe,21,1,24.112,3281.25,25.2053,4125.0,/content/data/train_images/content/data/train_images/5635d4cbe.png
5b1e3b55b,17,1,6.7627,1312.5,13.216,3937.5,/content/data/train_images/content/data/train_images/5b1e3b55b.png
b2ea74670,4,1,9.616,2343.75,11.472000000000001,4218.75,/content/data/train_images/content/data/train_images/b2ea74670.png
8a0ee2e2c,8,1,4.7627,3750.0,8.8853,5531.25,/content/data/train_images/content/data/train_images/8a0ee2e2c.png
d5997789c,23,1,1.9215,7235.16,8.0051,11283.4,/content/data/train_images/content/data/train_images/d5997789c.png
2f40810b2,16,4,45.9573,3093.75,47.792,4593.75,/content/data/train_images/content/data/train_images/2f40810b2.png
3b0e345fc,9,1,51.8027,843.75,55.3653,5718.75,/content/data/train_images/content/data/train_images/3b0e345fc.png
54399c91c,18,1,53.776,3187.5,54.4693,5062.5,/content/data/train_images/content/data/train_images/54399c91c.png
2322ec1d3,3,1,59.2533,1031.25,59.9947,2812.5,/content/data/train_images/content/data/train_images/2322ec1d3.png
4bb6b8a81,18,1,36.4053,3187.5,37.0987,5062.5,/content/data/train_images/content/data/train_images/4bb6b8a81.png
29127020a,3,1,25.12,1031.25,25.8613,2812.5,/content/data/train_images/content/data/train_images/29127020a.png
7ad715d6d,19,1,41.552,281.25,43.104,2812.5,/content/data/train_images/content/data/train_images/7ad715d6d.png
d93aaa1bc,18,1,3.0987,3187.5,3.792,5062.5,/content/data/train_images/content/data/train_images/d93aaa1bc.png
160b70831,2,1,1.9413,468.75,3.7173,3000.0,/content/data/train_images/content/data/train_images/160b70831.png
6f7eec323,17,4,9.6907,1406.25,12.2987,3937.5,/content/data/train_images/content/data/train_images/6f7eec323.png
fc6609050,0,1,42.9973,5906.25,43.792,8250.0,/content/data/train_images/content/data/train_images/fc6609050.png
acff61b19,15,1,24.0213,93.75,27.3653,1125.0,/content/data/train_images/content/data/train_images/acff61b19.png
48a77f450,22,1,52.3573,10687.5,53.9627,13687.5,/content/data/train_images/content/data/train_images/48a77f450.png
7f8fab554,4,1,14.24,2343.75,16.096,4218.75,/content/data/train_images/content/data/train_images/7f8fab554.png
3c621e663,17,1,2.8053,1312.5,9.2587,3937.5,/content/data/train_images/content/data/train_images/3c621e663.png
fbb31daeb,11,1,52.7615,1808.79,53.8993,5684.77,/content/data/train_images/content/data/train_images/fbb31daeb.png
06a0c48c9,0,1,57.2213,5906.25,58.016000000000005,8250.0,/content/data/train_images/content/data/train_images/06a0c48c9.png
71cf9646b,15,1,11.8293,93.75,15.1733,1125.0,/content/data/train_images/content/data/train_images/71cf9646b.png
5d606b7a3,9,1,10.2933,843.75,13.856,5718.75,/content/data/train_images/content/data/train_images/5d606b7a3.png
287bf77ec,2,1,12.1813,468.75,13.9573,3000.0,/content/data/train_images/content/data/train_images/287bf77ec.png
e6de52902,16,4,22.2987,3093.75,24.1333,4593.75,/content/data/train_images/content/data/train_images/e6de52902.png
3fcca1372,17,1,38.576,1312.5,45.0293,3937.5,/content/data/train_images/content/data/train_images/3fcca1372.png
447409a6b,0,1,25.872,5906.25,26.6667,8250.0,/content/data/train_images/content/data/train_images/447409a6b.png
5f9157d7b,0,1,58.9333,5906.25,59.728,8250.0,/content/data/train_images/content/data/train_images/5f9157d7b.png
644f71ae8,14,1,15.5787,2531.25,16.1653,5531.25,/content/data/train_images/content/data/train_images/644f71ae8.png
dbd243625,15,1,9.6587,93.75,13.0027,1125.0,/content/data/train_images/content/data/train_images/dbd243625.png
73c4d8db8,17,4,52.0243,1464.26,55.8034,4565.04,/content/data/train_images/content/data/train_images/73c4d8db8.png
851c98ea8,18,1,52.8587,3187.5,53.552,5062.5,/content/data/train_images/content/data/train_images/851c98ea8.png
e8b209030,14,1,4.1493,2531.25,4.736000000000001,5531.25,/content/data/train_images/content/data/train_images/e8b209030.png
0297d886e,13,1,57.808,93.75,58.431999999999995,843.75,/content/data/train_images/content/data/train_images/0297d886e.png
5a55970ad,17,1,19.9787,1312.5,26.432,3937.5,/content/data/train_images/content/data/train_images/5a55970ad.png
606f1e495,5,1,12.6613,4781.25,15.0133,10406.2,/content/data/train_images/content/data/train_images/606f1e495.png
af1d7ef13,21,1,50.8533,3281.25,51.9467,4125.0,/content/data/train_images/content/data/train_images/af1d7ef13.png
818a1635a,21,1,13.9253,3281.25,15.0187,4125.0,/content/data/train_images/content/data/train_images/818a1635a.png
5c57d8095,15,1,21.5787,93.75,24.9227,1125.0,/content/data/train_images/content/data/train_images/5c57d8095.png
58b92fcdc,5,1,15.824000000000002,4781.25,18.176,10406.2,/content/data/train_images/content/data/train_images/58b92fcdc.png
5c609dbfb,18,1,19.9947,3187.5,20.688000000000002,5062.5,/content/data/train_images/content/data/train_images/5c609dbfb.png
f33a1793f,16,4,8.3147,3093.75,10.1493,4593.75,/content/data/train_images/content/data/train_images/f33a1793f.png
fd7cc65e1,5,1,57.5307,4781.25,59.8827,10406.2,/content/data/train_images/content/data/train_images/fd7cc65e1.png
9a9951303,17,4,23.28,1406.25,25.888,3937.5,/content/data/train_images/content/data/train_images/9a9951303.png
9e5d5b03e,17,4,39.6853,1406.25,42.2933,3937.5,/content/data/train_images/content/data/train_images/9e5d5b03e.png
6666e213d,4,1,1.296,2531.25,3.4827,4031.25,/content/data/train_images/content/data/train_images/6666e213d.png
5f9b4785b,15,1,16.1333,93.75,19.4773,1125.0,/content/data/train_images/content/data/train_images/5f9b4785b.png
d922d82e9,12,1,21.7547,562.5,24.8907,3281.25,/content/data/train_images/content/data/train_images/d922d82e9.png
ed2ae7025,18,1,58.1333,3187.5,58.8267,5062.5,/content/data/train_images/content/data/train_images/ed2ae7025.png
21e2f2977,15,1,26.3307,93.75,29.6747,1125.0,/content/data/train_images/content/data/train_images/21e2f2977.png
bbd9ac366,18,1,55.92,3187.5,56.6133,5062.5,/content/data/train_images/content/data/train_images/bbd9ac366.png
75c8ccce9,14,1,12.592,2531.25,13.1787,5531.25,/content/data/train_images/content/data/train_images/75c8ccce9.png
6d5f5e052,19,1,36.9013,281.25,38.4533,2812.5,/content/data/train_images/content/data/train_images/6d5f5e052.png
e1582bf8b,11,1,56.6451,1808.79,57.7829,5684.77,/content/data/train_images/content/data/train_images/e1582bf8b.png
82ff46226,23,4,15.9695,6459.96,23.8933,11627.9,/content/data/train_images/content/data/train_images/82ff46226.png
5d606b7a3,9,1,10.2933,843.75,13.856,5718.75,/content/data/train_images/content/data/train_images/5d606b7a3.png
a2a211fa8,19,1,17.7653,281.25,19.3173,2812.5,/content/data/train_images/content/data/train_images/a2a211fa8.png
d59d099b3,17,1,32.9973,1312.5,39.4507,3937.5,/content/data/train_images/content/data/train_images/d59d099b3.png
82d59d24d,22,1,29.568,10687.5,31.1733,13687.5,/content/data/train_images/content/data/train_images/82d59d24d.png
2ef429016,4,1,38.7787,2343.75,40.6347,4218.75,/content/data/train_images/content/data/train_images/2ef429016.png
f3b84afb1,21,1,23.0293,3281.25,24.1227,4125.0,/content/data/train_images/content/data/train_images/f3b84afb1.png
69ea6d76b,19,1,30.9333,281.25,32.4853,2812.5,/content/data/train_images/content/data/train_images/69ea6d76b.png
a5034a8b3,4,1,39.5733,2531.25,41.76,4031.25,/content/data/train_images/content/data/train_images/a5034a8b3.png
b056e5bc2,6,1,2.9333,562.5,4.9547,3187.5,/content/data/train_images/content/data/train_images/b056e5bc2.png
